,Название,Описание,Цена,words
18,Велосипеды~Детский велосипед~Forward Arsenal 1.0 (2018),,5350,"детский_ADJ,велосипед_NOUN"
19,Велосипеды~Детский велосипед~Десна Метеор (2017),,8100,"детский_ADJ,десна_NOUN,метеор_NOUN,велосипед_NOUN"
20,Велосипеды~Детский велосипед~Десна Феникс 20 V010 (2018),,5800,"детский_ADJ,десна_NOUN,феникс_NOUN,велосипед_NOUN"
21,Велосипеды~Электровелосипед~Eltreco XT-700 (2018),,49990,велосипед_NOUN
22,Велосипеды~Детский велосипед~Stels Pilot 180 18 V010 (2018),,8100,"детский_ADJ,велосипед_NOUN"
23,Велосипеды~Горный велосипед~Merida Big.Nine 80-D (2019),,50505,"горный_ADJ,велосипед_NOUN"
24,Велосипеды~Горный велосипед~Merida Big.Seven 300 (2019),,52000,"горный_ADJ,велосипед_NOUN"
25,Велосипеды~Шоссейный велосипед~Silverback Stride Speed (2018),,46300,"шоссейный_ADJ,велосипед_NOUN"
26,Велосипеды~Шоссейный велосипед~Silverback Strela Comp (2018),,65000,"шоссейный_ADJ,велосипед_NOUN"
27,Велосипеды~Шоссейный велосипед~Silverback Strela Sport (2018),,59500,"шоссейный_ADJ,велосипед_NOUN"
28,Велосипеды~Детский велосипед~Challenger Cosmic R 24 (2019),,9980,"детский_ADJ,велосипед_NOUN"
29,Велосипеды~Детский велосипед~Format Kids 18 (2019),,14500,"детский_ADJ,велосипед_NOUN"
30,Велосипеды~Детский велосипед~Format Kids 14 (2019),,12899,"детский_ADJ,велосипед_NOUN"
31,"Велосипеды~Горный велосипед~Forward Sporting 27,5 3.0 Disc (2019)",,12450,"горный_ADJ,велосипед_NOUN"
32,"Велосипеды~Горный велосипед~Forward Apache 27,5 2.0 Disc (2019)",,15350,"горный_ADJ,велосипед_NOUN"
33,Велосипеды~Горный велосипед~Forward Next 29 2.0 Disc (2019),,21520,"горный_ADJ,велосипед_NOUN"
34,Велосипеды~BMX велосипед~Forward Zigzag (2019),,16950,велосипед_NOUN
35,Велосипеды~Детский велосипед~Forward Seido 24 1.0 (2019),,11000,"детский_ADJ,велосипед_NOUN"
36,Велосипеды~Дорожный велосипед~Stels Navigator 340 Lady (2016),,9500,"дорожный_ADJ,велосипед_NOUN"
37,Велосипеды~Детский велосипед~Stels Pilot 240 Lady 20 1-sp (2015),,10800,"детский_ADJ,велосипед_NOUN"
38,Велосипеды~Шоссейный велосипед~Format 2313  (2017),,63300,"шоссейный_ADJ,велосипед_NOUN"
39,Велосипеды~Горный велосипед~Stark Tactic 27.5 D (2017),,29420,"горный_ADJ,велосипед_NOUN"
40,Велосипеды~Горный велосипед~Scott Scale 945 (2017),,112991,"горный_ADJ,велосипед_NOUN"
41,Велосипеды~Горный велосипед~Silverback Spectra Sport (2018),,43800,"горный_ADJ,велосипед_NOUN"
42,Велосипеды~Детский велосипед~Silverback Sally 6.9 (2017),,18500,"детский_ADJ,велосипед_NOUN"
43,Велосипеды~Детский велосипед~Stels Flash 16  (2015),,4600,"детский_ADJ,велосипед_NOUN"
44,Велосипеды~Горный велосипед~Stark Tactic 27.5 D (2018),,30890,"горный_ADJ,велосипед_NOUN"
45,Велосипеды~Горный велосипед~Silverback Sola 1 (2018),,100000,"горный_ADJ,велосипед_NOUN"
46,Велосипеды~Горный велосипед~Stark Viva 26.2 D (2018),,20000,"горный_ADJ,велосипед_NOUN"
47,Велосипеды~Детский велосипед~Silverback Senza 20 (2017),,17000,"детский_ADJ,велосипед_NOUN"
48,Велосипеды~Детский велосипед~Stels Pilot 240 Lady 1 sp (2016),,9900,"детский_ADJ,велосипед_NOUN"
49,Велосипеды~Горный велосипед~Silverback Scoop FATTY (2017),,84600,"горный_ADJ,велосипед_NOUN"
50,Велосипеды~Детский велосипед~Scott Scale JR 20 (2018),,24430,"детский_ADJ,велосипед_NOUN"
51,Велосипеды~Детский велосипед~Silverback Sally 9+ (2017),,19500,"детский_ADJ,велосипед_NOUN"
52,Велосипеды~Дорожный велосипед~Forward Indie Jam 2.0 (2017),,13330,"дорожный_ADJ,велосипед_NOUN"
53,Велосипеды~Дорожный велосипед~Orbea Folding A10 (2015),,25000,"дорожный_ADJ,велосипед_NOUN"
54,Велосипеды~Горный велосипед~Stark Ibiza 26.1 S (2018),,15790,"горный_ADJ,велосипед_NOUN"
55,Велосипеды~Дорожный велосипед~Trek 7.4 FX (2014),,39354,"дорожный_ADJ,велосипед_NOUN"
56,Велосипеды~Горный велосипед~Silverback Stride 29 HD 9 (2018),,37000,"горный_ADJ,велосипед_NOUN"
57,Велосипеды~Горный велосипед~Silverback Splash 1 (2017),,36900,"горный_ADJ,велосипед_NOUN"
58,Велосипеды~Горный велосипед~Silverback Storm (2018),,113400,"горный_ADJ,велосипед_NOUN"
59,Велосипеды~Детский велосипед~Stels Powerkid 12 boy  (2017),,3550,"детский_ADJ,велосипед_NOUN"
60,Велосипеды~Горный велосипед~Forward Terra 1.0 (2015),,11290,"горный_ADJ,велосипед_NOUN"
61,Велосипеды~Дорожный велосипед~Silverback Shuffle 20 (2015),,38800,"дорожный_ADJ,велосипед_NOUN"
62,Велосипеды~Горный велосипед~Dewolf COVAX 2 (2016),,49200,"горный_ADJ,велосипед_NOUN"
63,Велосипеды~Дорожный велосипед~Schwinn Hollywood (2015),,23990,"дорожный_ADJ,велосипед_NOUN"
64,Велосипеды~Горный велосипед~Stark Luna 26.2 V (2017),,14500,"горный_ADJ,велосипед_NOUN"
65,Велосипеды~Горный велосипед~Silverback Stride 26 SLD (2018),,25200,"горный_ADJ,велосипед_NOUN"
66,Велосипеды~Горный велосипед~Dewolf COVAX 1 (2016),,58800,"горный_ADJ,велосипед_NOUN"
67,Велосипеды~Горный велосипед~Silverback Stride 15 (2016),,34900,"горный_ADJ,велосипед_NOUN"
68,Велосипеды~Горный велосипед~Trek Marlin 4 (2017),,24350,"горный_ADJ,велосипед_NOUN"
69,Велосипеды~Горный велосипед~Silverback Stride 27 D (2018),,31100,"горный_ADJ,велосипед_NOUN"
70,Велосипеды~Детский велосипед~Silverback Spyke 20 (2017),,17000,"детский_ADJ,велосипед_NOUN"
71,Велосипеды~Горный велосипед~Scott Aspect 960 (2017),,35641,"горный_ADJ,велосипед_NOUN"
72,Велосипеды~Горный велосипед~Silverback Slade Comp (2018),,68800,"горный_ADJ,велосипед_NOUN"
73,Велосипеды~Горный велосипед~Forward Hardi 2.0 disc (2017),,11850,"горный_ADJ,велосипед_NOUN"
74,Велосипеды~Горный велосипед~Trek 4700 (2014),,54408,"горный_ADJ,велосипед_NOUN"
75,Велосипеды~Горный велосипед~Stark Respect 26.1 RD (2018),,13190,"горный_ADJ,велосипед_NOUN"
76,Велосипеды~Дорожный велосипед~Orbea Folding A20 (2015),,18980,"дорожный_ADJ,велосипед_NOUN"
77,Велосипеды~Дорожный велосипед~Schwinn Slik Chik (2017),,25950,"дорожный_ADJ,велосипед_NOUN"
78,Велосипеды~Детский велосипед~Silverback Sam 9+ (2017),,19500,"детский_ADJ,велосипед_NOUN"
79,Велосипеды~Горный велосипед~Silverback Stride 27 HD 9 (2018),,38600,"горный_ADJ,велосипед_NOUN"
80,Велосипеды~Шоссейный велосипед~Orbea Avant H30D (2015),,76200,"шоссейный_ADJ,велосипед_NOUN"
81,Велосипеды~Горный велосипед~Commencal Supreme DH Park (2015),,165000,"горный_ADJ,велосипед_NOUN"
82,Велосипеды~Горный велосипед~Silverback Square (2016),,180000,"горный_ADJ,велосипед_NOUN"
83,Велосипеды~Горный велосипед~Stark Luna 26.2 D (2018),,15900,"горный_ADJ,велосипед_NOUN"
84,Велосипеды~Детский велосипед~Silverback Senza 16 Sport (2015),,14800,"детский_ADJ,велосипед_NOUN"
85,Велосипеды~Дорожный велосипед~Centurion Crossline 40 EQ  (2016),,17200,"дорожный_ADJ,велосипед_NOUN"
86,Велосипеды~Детский велосипед~Silverback Spyke 16 (2017),,15480,"детский_ADJ,велосипед_NOUN"
87,Велосипеды~Горный велосипед~Silverback Slade Sport (2018),,48000,"горный_ADJ,велосипед_NOUN"
88,Велосипеды~Детский велосипед~Scott Contessa JR 16 (2018),,18830,"детский_ADJ,велосипед_NOUN"
89,Велосипеды~Горный велосипед~Challenger Discovery 26 R (2017),,9990,"горный_ADJ,велосипед_NOUN"
90,Велосипеды~Горный велосипед~Silverback Synergy Fat (2016),,208300,"горный_ADJ,велосипед_NOUN"
91,Велосипеды~Горный велосипед~Black One Alta 26 Alloy (2017),,12310,"горный_ADJ,велосипед_NOUN"
92,Велосипеды~Шоссейный велосипед~Scott CR1 20 (2017),,130840,"шоссейный_ADJ,велосипед_NOUN"
93,Велосипеды~Горный велосипед~Silverback Sola 3 (2018),,68900,"горный_ADJ,велосипед_NOUN"
94,Велосипеды~Детский велосипед~Scott Contessa JR 20 (2018),,24430,"детский_ADJ,велосипед_NOUN"
95,Велосипеды~Дорожный велосипед~Forward Surf Lady 1.0 (2016),,14830,"дорожный_ADJ,велосипед_NOUN"
96,Велосипеды~Шоссейный велосипед~Silverback Strela 3 (2015),,40700,"шоссейный_ADJ,велосипед_NOUN"
97,Велосипеды~Детский велосипед~Merida Matts J20 Girl (2017),,18850,"детский_ADJ,велосипед_NOUN"
98,Велосипеды~Дорожный велосипед~Schwinn Streamliner 2 Woman (2017),,21950,"дорожный_ADJ,велосипед_NOUN"
99,Велосипеды~Дорожный велосипед~Stark Jam 20.1 V (2017),,21610,"дорожный_ADJ,велосипед_NOUN"
100,Велосипеды~Горный велосипед~Silverback Sprint Plus 2 (2017),,82700,"горный_ADJ,велосипед_NOUN"
101,Велосипеды~Электровелосипед~Eltreco Good 250W Litium (2017),,44900,велосипед_NOUN
102,Велосипеды~Дорожный велосипед~Forward Tracer 2.0 disc (2017),,16750,"дорожный_ADJ,велосипед_NOUN"
103,Велосипеды~Дорожный велосипед~Schwinn Slik Chik (2015),,20990,"дорожный_ADJ,велосипед_NOUN"
104,Велосипеды~Детский велосипед~Scott Scale JR 24 (2018),,27930,"детский_ADJ,велосипед_NOUN"
105,Велосипеды~Детский велосипед~Challenger Cosmic Girl 24 (2018),,9140,"детский_ADJ,велосипед_NOUN"
106,Велосипеды~Детский велосипед~Silverback Senza 24 (2017),,19500,"детский_ADJ,велосипед_NOUN"
107,Велосипеды~Горный велосипед~Silverback Slade Expert (2018),,73000,"горный_ADJ,велосипед_NOUN"
108,Велосипеды~Горный велосипед~Dewolf TRX 150 (2016),,36000,"горный_ADJ,велосипед_NOUN"
109,Велосипеды~Детский велосипед~Scott Contessa JR 24 (2018),,27930,"детский_ADJ,велосипед_NOUN"
110,Велосипеды~Детский велосипед~Giant Bella 20 (2016),,15600,"детский_ADJ,велосипед_NOUN"
111,Велосипеды~Горный велосипед~Stark Funriser 29.4 D (2018),,29590,"горный_ADJ,велосипед_NOUN"
112,Велосипеды~Горный велосипед~Silverback Spectra Comp (2018),,57600,"горный_ADJ,велосипед_NOUN"
113,Велосипеды~Дорожный велосипед~Silverback Scento 2 (2013),,38510,"дорожный_ADJ,велосипед_NOUN"
114,Велосипеды~Детский велосипед~Schwinn Corvette 24 (2017),,16590,"детский_ADJ,велосипед_NOUN"
115,Велосипеды~Горный велосипед~Silverback Stride 27 HD 10 (2018),,51800,"горный_ADJ,велосипед_NOUN"
116,Велосипеды~Дорожный велосипед~Giant Simple Seven (2014),,14240,"дорожный_ADJ,велосипед_NOUN"
117,Велосипеды~Горный велосипед~Silverback Splash 2 (2017),,29000,"горный_ADJ,велосипед_NOUN"
118,Велосипеды~Детский велосипед~Silverback Sam 4.6 (2017),,14000,"детский_ADJ,велосипед_NOUN"
119,Велосипеды~Горный велосипед~Silverback Stride 27 HD (2018),,36200,"горный_ADJ,велосипед_NOUN"
120,Велосипеды~Горный велосипед~Scott Scale 745 (2017),,112991,"горный_ADJ,велосипед_NOUN"
121,Велосипеды~Горный велосипед~Silverback Stride 29 HD (2018),,31900,"горный_ADJ,велосипед_NOUN"
122,Велосипеды~Дорожный велосипед~Trek 7.3 FX WSD (2014),,32568,"дорожный_ADJ,велосипед_NOUN"
123,Велосипеды~Горный велосипед~Silverback Splash 3 (2017),,25500,"горный_ADJ,велосипед_NOUN"
124,Велосипеды~Горный велосипед~Scott Scale 750 (2017),,107041,"горный_ADJ,велосипед_NOUN"
125,Велосипеды~Детский велосипед~Silverback Senza 24 (2015),,25700,"детский_ADJ,велосипед_NOUN"
126,Велосипеды~Электровелосипед~Hoverbot CNB-1 (2018),,153900,велосипед_NOUN
127,Велосипеды~Электровелосипед~Hoverbot CB-2 (2018),,60900,велосипед_NOUN
128,Велосипеды~Электровелосипед~Hoverbot CB-3 (2018),,122900,велосипед_NOUN
129,Велосипеды~Электровелосипед~Hoverbot FB-3PRO (2018),,134900,велосипед_NOUN
130,Велосипеды~Электровелосипед~Hoverbot CB-4 X-Rider (2018),,67900,велосипед_NOUN
131,Велосипеды~Электровелосипед~Hoverbot CB-5 X-Rider (2018),,83900,велосипед_NOUN
132,Велосипеды~Электровелосипед~Hoverbot CB-6 Urban (2018),,49900,велосипед_NOUN
133,Велосипеды~Электровелосипед~Hoverbot CB-8 Optimus (2018),,44900,велосипед_NOUN
134,Велосипеды~Электровелосипед~Hoverbot CB-9 Genus (2018),,47900,велосипед_NOUN
135,Велосипеды~Шоссейный велосипед~Cervelo S5 DA (2018),,318750,"шоссейный_ADJ,велосипед_NOUN"
136,Велосипеды~Детский велосипед~Schwinn Backdraft (2018),,7900,"детский_ADJ,велосипед_NOUN"
137,Велосипеды~Дорожный велосипед~Schwinn Debutante (2018),,36590,"дорожный_ADJ,велосипед_NOUN"
138,Велосипеды~Детский велосипед~Schwinn Deelite (2018),,8750,"детский_ADJ,велосипед_NOUN"
139,Велосипеды~Детский велосипед~Schwinn Drift (2018),,9950,"детский_ADJ,велосипед_NOUN"
140,Велосипеды~Детский велосипед~Schwinn Ella 24 (2018),,14990,"детский_ADJ,велосипед_NOUN"
141,Велосипеды~Дорожный велосипед~Schwinn Fiesta (2018),,29590,"дорожный_ADJ,велосипед_NOUN"
142,Велосипеды~Детский велосипед~Schwinn Frontier 24 (2018),,14990,"детский_ADJ,велосипед_NOUN"
143,Велосипеды~Детский велосипед~Schwinn Gremlin (2018),,12950,"детский_ADJ,велосипед_NOUN"
144,Велосипеды~Детский велосипед~Schwinn High Timber 24 Boy (2018),,15590,"детский_ADJ,велосипед_NOUN"
145,Велосипеды~Дорожный велосипед~Schwinn Hollywood (2018),,31950,"дорожный_ADJ,велосипед_NOUN"
146,Велосипеды~Дорожный велосипед~Schwinn Keala (2018),,16990,"дорожный_ADJ,велосипед_NOUN"
147,Велосипеды~Детский велосипед~Schwinn Lula 20 (2018),,17590,"детский_ADJ,велосипед_NOUN"
148,Велосипеды~Детский велосипед~Schwinn Mesa 20 (2018),,17590,"детский_ADJ,велосипед_NOUN"
149,Велосипеды~Дорожный велосипед~Schwinn S1 (2018),,14950,"дорожный_ADJ,велосипед_NOUN"
150,Велосипеды~Детский велосипед~Schwinn Scorch (2018),,9800,"детский_ADJ,велосипед_NOUN"
151,Велосипеды~Дорожный велосипед~Schwinn Voyageur Commute Women (2018),,30590,"дорожный_ADJ,велосипед_NOUN"
152,Велосипеды~Детский велосипед~Subrosa Altus Balance (2018),,13990,"детский_ADJ,велосипед_NOUN"
153,Велосипеды~Электровелосипед~Uberbike S26 350W Black (2017),,83500,велосипед_NOUN
154,Велосипеды~Горный велосипед~Forward Bizon (2018),,25950,"горный_ADJ,велосипед_NOUN"
155,Велосипеды~Дорожный велосипед~Forward Valencia 2.0 (2018),,7550,"дорожный_ADJ,велосипед_NOUN"
156,Велосипеды~Детский велосипед~Forward Unit 2.0 (2018),,7650,"детский_ADJ,велосипед_NOUN"
157,Велосипеды~Детский велосипед~Forward Unit 3.0 disc (2018),,10650,"детский_ADJ,велосипед_NOUN"
158,Велосипеды~Детский велосипед~Forward Unit 1.0 (2018),,7150,"детский_ADJ,велосипед_NOUN"
159,Велосипеды~Горный велосипед~Forward Twister 1.0 (2018),,12650,"горный_ADJ,велосипед_NOUN"
160,Велосипеды~Горный велосипед~Forward Titan 1.0 (2018),,8400,"горный_ADJ,велосипед_NOUN"
161,Велосипеды~Горный велосипед~Forward Toronto 1.0 (2018),,12500,"горный_ADJ,велосипед_NOUN"
162,Велосипеды~Горный велосипед~Forward Titan 2.0 low (2018),,9450,"горный_ADJ,велосипед_NOUN"
163,Велосипеды~Дорожный велосипед~Forward Timba (2018),,7250,"дорожный_ADJ,велосипед_NOUN"
164,Велосипеды~Горный велосипед~Forward Sporting 1.0 (2018),,8350,"горный_ADJ,велосипед_NOUN"
165,Велосипеды~Горный велосипед~Forward Seido 26 1.0 (2018),,11500,"горный_ADJ,велосипед_NOUN"
166,Велосипеды~Дорожный велосипед~Forward Scorpions 1.0 (2018),,6150,"дорожный_ADJ,велосипед_NOUN"
167,Велосипеды~Горный велосипед~Forward Raptor 26 2.0 disc (2018),,14250,"горный_ADJ,велосипед_NOUN"
168,Велосипеды~Горный велосипед~Forward Raptor 26 1.0 (2018),,9800,"горный_ADJ,велосипед_NOUN"
169,Велосипеды~Детский велосипед~Forward Raptor 24 2.0 (2018),,9950,"детский_ADJ,велосипед_NOUN"
170,Велосипеды~Детский велосипед~Forward Mini Bike (2018),,4500,"детский_ADJ,велосипед_NOUN"
171,Велосипеды~Детский велосипед~Forward Leo (2018),,2400,"детский_ADJ,велосипед_NOUN"
172,Велосипеды~Горный велосипед~Forward Iris 26 1.0 (2018),,9450,"горный_ADJ,велосипед_NOUN"
173,Велосипеды~Детский велосипед~Forward Iris 20 (2018),,7280,"детский_ADJ,велосипед_NOUN"
174,Велосипеды~Шоссейный велосипед~Forward Impulse 1.0 (2018),,20450,"шоссейный_ADJ,велосипед_NOUN"
175,Велосипеды~Горный велосипед~Forward Flash 3.0 (2018),,10300,"горный_ADJ,велосипед_NOUN"
176,Велосипеды~Горный велосипед~Forward Flash 1.0 (2018),,8200,"горный_ADJ,велосипед_NOUN"
177,Велосипеды~Горный велосипед~Forward Flash 2.0 (2018),,9450,"горный_ADJ,велосипед_NOUN"
178,Велосипеды~Горный велосипед~Forward Dakota 26 2.0 (2018),,10450,"горный_ADJ,велосипед_NOUN"
179,Велосипеды~Детский велосипед~Forward Dakota 24 1.0 (2018),,8550,"детский_ADJ,велосипед_NOUN"
180,Велосипеды~Детский велосипед~Forward Dakota 20 2.0 (2018),,7750,"детский_ADJ,велосипед_NOUN"
181,Велосипеды~Детский велосипед~Forward Dakota 20 1.0 (2018),,7400,"детский_ADJ,велосипед_NOUN"
182,Велосипеды~Дорожный велосипед~Forward Enigma 1.0 (2018),,13000,"дорожный_ADJ,велосипед_NOUN"
183,Велосипеды~Горный велосипед~Forward Benfica 26 1.0 (2018),,11050,"горный_ADJ,велосипед_NOUN"
184,Велосипеды~Детский велосипед~Forward Comanche 1.0 (2018),,9300,"детский_ADJ,велосипед_NOUN"
185,Велосипеды~Дорожный велосипед~Forward Barcelona Air 1.0 (2018),,10950,"дорожный_ADJ,велосипед_NOUN"
186,Велосипеды~Детский велосипед~Forward Arsenal 2.0 (2018),,7350,"детский_ADJ,велосипед_NOUN"
187,Велосипеды~Шоссейный велосипед~Merida Reacto Disc Team-E (2018),,325000,"шоссейный_ADJ,велосипед_NOUN"
188,Велосипеды~Электровелосипед~Kalkhoff Integrale Advance I10 (2018),,180000,велосипед_NOUN
189,Велосипеды~Шоссейный велосипед~Cervelo C3 Disc Ultegra Di2 (2018),,210000,"шоссейный_ADJ,велосипед_NOUN"
190,Велосипеды~Шоссейный велосипед~Cervelo P3 Ultegra (2018),,191250,"шоссейный_ADJ,велосипед_NOUN"
191,Велосипеды~Шоссейный велосипед~Cervelo R3 Ultegra DI2 (2018),,225000,"шоссейный_ADJ,велосипед_NOUN"
192,Велосипеды~Шоссейный велосипед~Cervelo R3 Ultegra (2018),,168750,"шоссейный_ADJ,велосипед_NOUN"
193,Велосипеды~Шоссейный велосипед~Cervelo R3 Disc Ultegra (2018),,187500,"шоссейный_ADJ,велосипед_NOUN"
194,Велосипеды~Шоссейный велосипед~Cervelo R5 ETAP (2018),,390000,"шоссейный_ADJ,велосипед_NOUN"
195,Велосипеды~Шоссейный велосипед~Cervelo R5 DA Di2 (2018),,390000,"шоссейный_ADJ,велосипед_NOUN"
196,Велосипеды~Шоссейный велосипед~Cervelo R5 DA (2018),,296250,"шоссейный_ADJ,велосипед_NOUN"
197,Велосипеды~Шоссейный велосипед~Cervelo S2 105 (2018),,123750,"шоссейный_ADJ,велосипед_NOUN"
198,Велосипеды~Шоссейный велосипед~Cervelo S3 Ultegra Di2 (2018),,213750,"шоссейный_ADJ,велосипед_NOUN"
199,Велосипеды~Шоссейный велосипед~Cervelo S5 TeamDD (2018),,487500,"шоссейный_ADJ,велосипед_NOUN"
200,Велосипеды~Детский велосипед~Giant Adore 20 (2018),,19900,"детский_ADJ,велосипед_NOUN"
201,Велосипеды~Шоссейный велосипед~Giant Avail Advanced 1 (2018),,184000,"шоссейный_ADJ,велосипед_NOUN"
202,Велосипеды~Шоссейный велосипед~Giant Avail Advanced 2 (2018),,157600,"шоссейный_ADJ,велосипед_NOUN"
203,Велосипеды~Шоссейный велосипед~Giant Avail Advanced 3 (2018),,141400,"шоссейный_ADJ,велосипед_NOUN"
204,Велосипеды~Шоссейный велосипед~Giant Avail SL 1 Disc (2018),,114500,"шоссейный_ADJ,велосипед_NOUN"
205,Велосипеды~Горный велосипед~Giant Bliss 2 27.5 (2018),,35800,"горный_ADJ,велосипед_NOUN"
206,Велосипеды~Горный велосипед~Giant Bliss 3 27.5 (2018),,30800,"горный_ADJ,велосипед_NOUN"
207,Велосипеды~Горный велосипед~Giant Bliss 3 26 (2018),,30800,"горный_ADJ,велосипед_NOUN"
208,Велосипеды~Горный велосипед~Giant Embolden 2 (2018),,137000,"горный_ADJ,велосипед_NOUN"
209,Велосипеды~Детский велосипед~Giant Enchant 20 (2018),,24500,"детский_ADJ,велосипед_NOUN"
210,Велосипеды~Дорожный велосипед~Giant Flourish 1 (2018),,61400,"дорожный_ADJ,велосипед_NOUN"
211,Велосипеды~Дорожный велосипед~Giant Flourish 2 (2018),,51700,"дорожный_ADJ,велосипед_NOUN"
212,Велосипеды~Дорожный велосипед~Giant Flourish FS 3 (2018),,42800,"дорожный_ADJ,велосипед_NOUN"
213,Велосипеды~Горный велосипед~Giant Hail 2 (2018),,240400,"горный_ADJ,велосипед_NOUN"
214,Велосипеды~Шоссейный велосипед~Giant Langma Advanced 2 (2018),,137600,"шоссейный_ADJ,велосипед_NOUN"
215,Велосипеды~Дорожный велосипед~Giant Momentum iNeed Street Mid-Step (2018),,34100,"дорожный_ADJ,велосипед_NOUN"
216,Велосипеды~Дорожный велосипед~Giant Momentum iNeed Street (2018),,34100,"дорожный_ADJ,велосипед_NOUN"
217,Велосипеды~Горный велосипед~Giant Momentum iRide Rocker 3 (2018),,51200,"горный_ADJ,велосипед_NOUN"
218,Велосипеды~Горный велосипед~Giant Pique 3 (2018),,183100,"горный_ADJ,велосипед_NOUN"
219,Велосипеды~Дорожный велосипед~Giant Rove 2 Disc DD (2018),,50000,"дорожный_ADJ,велосипед_NOUN"
220,Велосипеды~Дорожный велосипед~Giant Sedona DX W (2018),,40500,"дорожный_ADJ,велосипед_NOUN"
221,Велосипеды~Дорожный велосипед~Giant Simple Three W (2018),,37200,"дорожный_ADJ,велосипед_NOUN"
222,Велосипеды~Горный велосипед~Giant Tempt 2 (2018),,61100,"горный_ADJ,велосипед_NOUN"
223,Велосипеды~Шоссейный велосипед~Merida Reacto 4000 TW (2018),,109850,"шоссейный_ADJ,велосипед_NOUN"
224,Велосипеды~Шоссейный велосипед~Merida Scultura 4000 TW (2018),,97175,"шоссейный_ADJ,велосипед_NOUN"
225,Велосипеды~Детский велосипед~Dewolf J12 Boy (2018),,7200,"детский_ADJ,велосипед_NOUN"
226,Велосипеды~Детский велосипед~Dewolf J160 Boy (2018),,9600,"детский_ADJ,велосипед_NOUN"
227,Велосипеды~Детский велосипед~Dewolf J160 Girl (2018),,9600,"детский_ADJ,велосипед_NOUN"
228,Велосипеды~Детский велосипед~Dewolf J200 Boy (2018),,11800,"детский_ADJ,велосипед_NOUN"
229,Велосипеды~Детский велосипед~Dewolf J200 Girl (2018),,11100,"детский_ADJ,велосипед_NOUN"
230,Велосипеды~Детский велосипед~Dewolf Sand 210 (2018),,15300,"детский_ADJ,велосипед_NOUN"
231,Велосипеды~Детский велосипед~Dewolf Wave 210 (2018),,15400,"детский_ADJ,велосипед_NOUN"
232,Велосипеды~Детский велосипед~Dewolf J250 Boy (2018),,16000,"детский_ADJ,велосипед_NOUN"
233,Велосипеды~Детский велосипед~Dewolf J250 Girl (2018),,15800,"детский_ADJ,велосипед_NOUN"
234,Велосипеды~Детский велосипед~Dewolf Sand 250 (2018),,16200,"детский_ADJ,велосипед_NOUN"
235,Велосипеды~Горный велосипед~Dewolf GL 45 (2018),,23000,"горный_ADJ,велосипед_NOUN"
236,Велосипеды~Горный велосипед~Dewolf GL 55 (2018),,24300,"горный_ADJ,велосипед_NOUN"
237,Велосипеды~Дорожный велосипед~Dewolf Forest 2 (2018),,24700,"дорожный_ADJ,велосипед_NOUN"
238,Велосипеды~Шоссейный велосипед~Merida Scultura 9000-E (2018),,247000,"шоссейный_ADJ,велосипед_NOUN"
239,Велосипеды~Детский велосипед~Forward Racing 12 Boy (2018),,4100,"детский_ADJ,велосипед_NOUN"
240,Велосипеды~Детский велосипед~Forward Dakota 24 2.1 (2018),,9950,"детский_ADJ,велосипед_NOUN"
